,game_title, genre, platforms, developers,release_year,release_month,release_day,average_metascore_ratings
6642,Nintendogs + Cats: French Bulldog & New Friends,Pet|Simulation|Virtual Life|Virtual|Miscellaneous,3DS,Nintendo,2011,3,27,71.0
6643,Disney Magical World,Simulation|Virtual Life|General|Virtual|Miscellaneous,3DS,h.a.n.d. Inc.,2014,4,11,71.0
6644,Nintendogs + Cats: Toy Poodle & New Friends,Pet|Simulation|Virtual Life|Virtual|Miscellaneous,3DS,Nintendo,2011,3,27,71.0
6645,Nintendogs + Cats: Golden Retriever & New Friends,Pet|Simulation|Virtual Life|Virtual|Miscellaneous,3DS,Nintendo,2011,3,27,71.0
6646,Tomodachi Life,Simulation|Virtual Life|General|Virtual|Miscellaneous,3DS,Nintendo,2014,6,6,71.0
6647,Steel Diver: Sub Wars,Simulation|Submarine|Combat|Marine,3DS,Nintendo,2014,2,13,70.0
6648,Aero Porter,Simulation|General,3DS,Vivarium,2012,11,29,70.0
6649,Coaster Creator 3D,Simulation|General,3DS,Big John Games| Gamers Digital,2013,2,28,68.0
6650,Farming Simulator 18,Career|Simulation|Virtual,3DS|iPhone/iPad|PlayStation Vita,Giants Software,2017,6,6,66.0
6651,Cube Creator 3D,Sandbox|Simulation|General|Action Adventure,3DS,Big John Games| Gamers Digital,2015,4,23,67.0
6652,Animal Crossing: Happy Home Designer,Career|Simulation|Virtual,3DS,Nintendo,2015,9,25,66.0
6653,A-Train 3D: City Simulator,Simulation|Vehicle|Train,3DS,Artdink,2015,4,14,65.0
6654,Tank Troopers,Simulation|Vehicle|Combat,3DS,Nintendo,2017,2,16,64.0
6655,Cooking Mama 4: Kitchen Magic,Simulation|Career|General|Virtual|Miscellaneous,3DS,Cooking Mama Limited,2011,11,16,56.0
6656,Cooking Mama: Sweet Shop,Career|Simulation|Virtual,3DS,Office Create,2017,5,16,56.0
6657,Real Heroes: Firefighter 3D,Simulation|Virtual Life|Career|Virtual|Miscellaneous,3DS,Creative Distribution Ltd,2012,8,10,49.0
6658,HomeTown Story,Simulation|General,3DS,TOYBOX,2013,10,17,47.0
6659,Mario Golf: World Tour,Arcade|Traditional|Sports|Golf|Individual,3DS,Camelot Software Planning,2014,5,2,78.0
6660,Inazuma Eleven,Arcade|Traditional|Sports|Soccer|Team,3DS,Level 5,2014,2,13,78.0
6661,Inazuma Eleven Go: Chrono Stones: Thunderflash,Sports|Arcade|Team|Soccer,3DS,Level 5,2015,3,27,77.0
6662,Inazuma Eleven Go: Chrono Stones: Wildfire,Sports|Arcade|Team|Soccer,3DS,Level 5,2015,3,27,77.0
6663,Inazuma Eleven Go: Shadow,Traditional|Sports|Arcade|Soccer,3DS,Level 5,2014,6,13,75.0
6664,Inazuma Eleven Go: Light,Traditional|Sports|Arcade|Soccer,3DS,Level 5,2014,6,13,74.0
6665,Pro Evolution Soccer 2012 3D,Traditional|Sports|Football|Soccer|Sim|Team,3DS|PC|PlayStation 2|PlayStation 3|Xbox 360,Konami,2012,2,1,73.0
6666,Pro Evolution Soccer 2011 3D,Traditional|Sports|Soccer|Sim|Team,3DS|iPhone/iPad|PC|PlayStation 2|PlayStation 3|Xbox 360,Konami,2011,3,25,73.0
6667,Inazuma Eleven 3: Bomb Blast,Traditional|Sports|Arcade|Soccer,3DS,Level 5,2013,9,27,72.0
6668,Inazuma Eleven 3: Team Ogre Attacks!,Traditional|Sports|Arcade|Soccer,3DS,Level 5,2014,2,14,70.0
6669,Inazuma Eleven 3: Lightning Bolt,Traditional|Sports|Arcade|Soccer,3DS,Level 5,2013,9,27,70.0
6670,Mario Tennis Open,Traditional|Sports|Individual|Tennis,3DS,Camelot Software Planning,2012,5,20,69.0
6671,Mario & Sonic at the London 2012 Olympic Games,Olympic Sports|Sports|Athletics|Individual,3DS,Sega| Sega Sports R&D,2012,2,14,66.0
6672,Nintendo Pocket Football Club,Traditional|Sports|Arcade|Soccer,3DS,ParityBit,2014,4,17,65.0
6673,Family Tennis 3D,Traditional|Sports|Individual|Tennis,3DS,Arc System Works,2012,7,5,63.0
6674,Let's Golf 3D,Arcade|Traditional|Sports|Golf|Individual,3DS,Gameloft,2011,7,28,62.0
6675,Mario Sports Superstars,Sports|General,3DS,Nintendo| Camelot Software Planning,2017,3,24,62.0
6676,Undead Bowling,Sports|Alternative|Bowling|Individual,3DS,G-STYLE,2013,7,18,61.0
6677,Fun! Fun! Minigolf TOUCH!,Arcade|Traditional|Sports|Golf|Individual,3DS,Shin'en,2012,3,8,61.0
6678,DualPenSports,Sports|General,3DS,Indies Zero,2011,6,21,58.0
6679,Reel Fishing Paradise 3D,Nature|Sports|Fishing|Individual,3DS,Natsume,2011,6,21,57.0
