,game_title, genre, platforms, developers,release_year,release_month,release_day,average_metascore_ratings
1508,Stardust Galaxy Warriors: Stellar Climax,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4|Switch,Dreamloop Games,2016,9,9,85.0
1509,Pinball FX 2,Miscellaneous|Pinball|Action|Parlor,Xbox One|PC|Xbox 360,Zen Studios,2014,8,14,84.5
1510,Killer Instinct Season 2,Fighting|Action|2D,Xbox One,Iron Galaxy Studios,2014,9,23,85.0
1511,Halo: The Master Chief Collection,Action|Arcade|Compilation|Sci-Fi|Shooter|Miscellaneous|First-Person,Xbox One,343 Industries,2014,11,11,85.0
1512,LIMBO,Platformer|Action|2D,Xbox One|iPhone/iPad|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Switch|Xbox 360,PLAYDEAD,2014,12,5,87.0
1513,Enter The Gungeon,Action|General,Xbox One|PC|PlayStation 4|Switch,Dodge Roll,2017,4,5,85.0
1514,Gears of War 4,Action|Arcade|Sci-Fi|Shooter|Third-Person,Xbox One|PC,The Coalition,2016,10,11,85.0
1515,Halo 5: Guardians,Action|Arcade|Sci-Fi|Shooter|First-Person,Xbox One,343 Industries,2015,10,27,84.0
1516,EVERSPACE,Open-World|Action|Action Adventure|General,Xbox One|PC|PlayStation 4,ROCKFISH Games,2016,9,23,81.5
1517,FRU,Miscellaneous|Puzzle|Action,Xbox One,Through Games,2016,7,13,84.0
1518,Race The Sun,Action|Arcade,Xbox One|iPhone/iPad|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U,Flippfly,2017,4,21,84.0
1519,Battlefield 1: They Shall Not Pass,Shooter|Action|First-Person|Tactical,Xbox One|PC|PlayStation 4,EA DICE,2017,3,14,79.5
1520,Castle Crashers Remastered,Beat-'Em-Up|Action|2D,Xbox One,The Behemoth,2015,9,9,83.0
1521,Gears of War: Ultimate Edition,Shooter|Action|Arcade|Third-Person,Xbox One|PC,Splash Damage| The Coalition,2015,8,25,82.0
1522,Super Hydorah,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One|iPhone/iPad|PC|PlayStation 4|PlayStation Vita|Switch,Locomalito,2017,9,20,80.75
1523,Rock Band Rivals,Action|Music|Rhythm,Xbox One|PlayStation 4,Harmonix Music Systems,2016,10,18,82.0
1524,So Many Me,Puzzle|Action,Xbox One|Mobile|PC|PlayStation 3|PlayStation 4|Xbox 360,Extend Studio,2015,7,16,80.0
1525,Kalimba,Action|General,Xbox One|iPhone/iPad|PC,Press Play,2014,12,17,84.33
1526,Sunset Overdrive,Action|General|Arcade|Shooter|Third-Person,Xbox One|PC,Insomniac Games,2014,10,28,82.0
1527,Pinball FX3: Jurassic World Pinball,Pinball|Action,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch,Zen Studios,2018,2,20,81.0
1528,GRIDD: Retroenhanced,Shooter|Action|Rail,Xbox One|PC|PlayStation 4|Switch,Kongregate,2017,7,26,81.0
1529,Super Time Force,Platformer|Action|Shoot-'Em-Up|Shooter|2D|Scrolling|Vertical,Xbox One|PC|PlayStation 4|PlayStation Vita|Xbox 360,Capy Games,2014,5,14,80.0
1530,NeuroVoider,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4|PlayStation Vita|Switch,Plug In Digital,2017,3,17,82.5
1531,The Bug Butcher,Platformer|Action|2D,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch,Triangle Studios,2016,10,19,83.5
1532,Omega Strike,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Woblyware,2018,6,15,80.0
1533,Steredenn,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One|iPhone/iPad|PC|PlayStation 3|PlayStation 4,Pixelnest Studio,2016,4,1,79.0
1534,Flipping Death,Action|General,Xbox One|PC|PlayStation 4|Switch,Zoink!,2018,8,7,77.0
1535,20XX,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Batterystaple Games,2018,7,11,78.0
1536,Pinball FX3 - Star Wars: The Last Jedi,Pinball|Action,Xbox One|iPhone/iPad|PC|PlayStation 4,Zen Studios,2018,4,17,79.0
1537,Pit People,Tactics|Action|General|Strategy|Turn-Based,Xbox One|PC,The Behemoth,2018,3,2,78.5
1538,Guns  Gore & Cannoli 2,Shooter|Action|Arcade|Third-Person,Xbox One|PC|PlayStation 4|Switch,Crazy Monkey Studios,2018,10,12,78.33
1539,Turok 2: Seeds of Evil Remaster,Shooter|Action|First-Person|Arcade,Xbox One|PC,Night Dive Studios,2018,3,2,78.0
1540,SUPERBEAT: XONiC,Action|Music|Rhythm,Xbox One|PlayStation 4|PlayStation Vita|Switch,PM Studios Inc.,2017,6,7,77.67
1541,Bleed 2,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Digerati Distribution| Digerati,2018,2,9,80.0
1542,Candleman,Platformer|Action|3D,Xbox One|iPhone/iPad|PC|PlayStation 4,Spotlightor Interactive,2017,2,1,78.0
1543,Dead Rising 3,Open-World|Action|General|Action Adventure,Xbox One,Capcom Vancouver,2013,11,22,78.0
1544,Void Bastards,Shooter|Action|First-Person|Arcade,Xbox One|PC,Blue Manchu,2019,5,29,79.5
1545,Aqua Kitty UDX,Action|General,Xbox One|Switch,Tikipod Limited,2017,2,3,76.5
1546,Sky Force Anniversary,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Switch|Wii U,Infinite Dreams Inc.,2016,12,9,77.0
1547,Quantum Break,Action|General,Xbox One|PC,Remedy Entertainment,2016,4,5,71.5
1548,#IDARB,Action|General,Xbox One,Other Ocean Interactive,2015,1,30,77.0
1549,Wulverblade,Beat-'Em-Up|Action|2D,Xbox One|PC|PlayStation 4|Switch,Darkwind Media,2018,1,31,76.0
1550,Electronic Super Joy,Platformer|Action|Rhythm|Music|2D,Xbox One|PC|PlayStation 4|Wii U,Michael Todd Games,2016,1,20,77.5
1551,Mr. Shifty,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4|Switch,tinyBuild,2017,8,4,71.0
1552,Fantasia: Music Evolved,Miscellaneous|Action|Music|Rhythm,Xbox One|Xbox 360,Harmonix Music Systems,2014,10,21,77.0
1553,Farm Together,Action|General,Xbox One|PC|PlayStation 4|Switch,Milkstone Studios,2019,1,19,77.0
1554,Hellmut: The Badass from Hell,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|Switch,Volcanicc,2019,5,31,72.5
1555,Volgarr the Viking,Action|General,Xbox One|PC|PlayStation 4|PlayStation Vita|Switch|Wii U,Crazy Viking Studios,2014,10,31,77.67
1556,D4: Dark Dreams Don't Die,Action|General|Adventure|Point-and-Click|3D|Third-Person|Modern,Xbox One|PC,Access Games,2014,9,19,72.4
1557,Candle: The Power of the Flame,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Merge Games,2018,7,25,74.0
1558,Overdriven Reloaded: Special Edition,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|PC|Switch,TOMAGameStudio,2018,2,9,76.0
1559,Westerado: Double Barreled,Action|General,Xbox One|PC,Ostrich Banditos,2016,12,9,78.0
1560,Unit 4,Platformer|Action|2D,Xbox One|PC|Switch,Gamera Games| Gamera Interactive,2017,5,24,76.0
1561,Mercenary Kings: Reloaded Edition,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One|PC|PlayStation 4|PlayStation Vita|Switch,Tribute Games,2018,2,6,72.0
1562,Super Ultra Dead Rising 3' Arcade Remix Hyper Edition EX Plus Alpha,Open-World|Action|Action Adventure|General,Xbox One,Capcom Vancouver,2014,6,9,75.0
1563,Call of Duty: Advanced Warfare - Ascendance,Shooter|Action|First-Person|Arcade,Xbox One|PC|PlayStation 3|PlayStation 4|Xbox 360,Sledgehammer Games,2015,3,31,75.0
1564,Call of Duty: Advanced Warfare - Reckoning,Shooter|Action|First-Person|Arcade,Xbox One,Sledgehammer Games,2015,8,4,75.0
1565,Doughlings: Arcade,Action|Arcade,Xbox One|PC|PlayStation 4|Switch,Hero Concept,2018,8,3,75.0
1566,The Walking Vegetables: Radical Edition,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4|Switch,Still Running,2019,1,23,75.0
1567,Raiden V,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|PC|PlayStation 4|Switch,Moss,2016,5,11,75.0
1568,Full Metal Furies,Beat-'Em-Up|Action|2D,Xbox One|PC|Switch,Cellar Door Games,2018,1,17,78.33
1569,Battlezone: Gold Edition,Action|Arcade,Xbox One|PC|PlayStation 4|Switch,Rebellion,2018,5,1,74.0
1570,Titanfall: Frontier's Edge,Action|Arcade|Sci-Fi|Shooter|First-Person,Xbox One,Respawn Entertainment,2014,7,31,75.0
1571,Seasons after Fall,Platformer|Action|2D,Xbox One|PC|PlayStation 4,Focus Home Interactive,2017,5,16,75.0
1572,Dance Central Spotlight,Miscellaneous|Action|Dancing|Rhythm,Xbox One,Harmonix Music Systems,2014,9,2,74.0
1573,Pinball FX 2: Iron and Steel Pack,Pinball|Action,Xbox One,Zen Studios,2015,2,26,74.0
1574,Ultratron,Action|Shoot-'Em-Up|Shooter|Top-Down|Vertical,Xbox One|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U,Puppy Games,2015,5,8,73.5
1575,Turok Remastered,Shooter|Action|First-Person|Arcade,Xbox One|PC|Switch,Night Dive Studios,2018,3,2,70.5
1576,Steamroll,Platformer|Action|3D,Xbox One|PC,Anticto,2019,1,25,74.0
1577,Anarcute,Action|General,Xbox One|PC|Switch,Anarteam,2016,7,12,76.5
1578,Mega Coin Squad,Platformer|Action|2D,Xbox One|PC|PlayStation 4,Big Pixel Studios,2015,5,20,65.0
1579,Subterrain,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4,Pixellore,2017,1,27,73.0
1580,Mystery Castle,Puzzle|Action,Xbox One|PC,Runestone Games Limited,2016,5,6,73.0
1581,Project Spark,Sandbox|Action|General|Action Adventure,Xbox One|PC,Microsoft Game Studios,2014,3,4,73.0
1582,Titanfall: Expedition,Action|Arcade|Sci-Fi|Shooter|First-Person,Xbox One|PC,Respawn Entertainment,2014,5,15,73.0
1583,Hyperdrive Massacre,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC,34BigThings,2016,1,13,73.0
1584,Steel Rain X,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One,Polarity Flow| PolarityFlow,2016,12,16,73.0
1585,Hyper Sentinel,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One|PC|PlayStation 4|Switch,Four5Six Pixel,2018,5,11,72.0
1586,Call of Duty: Ghosts - Invasion,Action|Arcade|Shooter|Modern|First-Person,Xbox One|PC|PlayStation 3|PlayStation 4|Xbox 360,Infinity Ward,2014,6,3,73.0
1587,Talent Not Included,Platformer|Action|2D,Xbox One|PC,Frima Studio,2017,4,5,73.0
1588,Killer Instinct,Fighting|Action|2D|3D,Xbox One|PC,Double Helix Games,2013,11,22,73.0
1589,Call of Duty: Advanced Warfare - Havoc,Action|Arcade|Shooter|Modern|First-Person,Xbox One|PlayStation 4,Sledgehammer Games,2015,1,27,72.0
1590,Jump Gunners,Platformer|Action|2D,Xbox One|PC,NerdRage Studios Ltd.,2018,8,3,72.0
1591,Action Henk,Platformer|Action|2D|3D,Xbox One|PC|PlayStation 3|PlayStation 4,RageSquid,2016,3,4,73.0
1592,Amazing Princess Sarah,Platformer|Action|2D,Xbox One|PC,Haruneko,2016,1,29,72.0
1593,Toy Odyssey: The Lost and Found,Platformer|Action|2D,Xbox One|PC|PlayStation 4,Hikergames,2016,9,21,71.0
1594,Dungeon Punks,Action|General|Role-Playing|Action RPG,Xbox One|PC|PlayStation 4|PlayStation Vita,Hyper Awesome Entertainment,2016,7,26,71.0
1595,Factotum 90,Puzzle|Action,Xbox One|PC|PlayStation 4|PlayStation Vita|Wii U,TACS Games,2016,2,10,71.0
1596,Tetrobot and Co.,Puzzle|Action,Xbox One|iPhone/iPad|PC|PlayStation 4|Wii U,Swing Swing Submarine,2016,3,16,73.0
1597,Call of Duty: Advanced Warfare - Supremacy,Shooter|Action|First-Person|Arcade,Xbox One|Xbox 360,,2015,6,2,71.0
1598,Tokyo 42,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4,SMAC Games,2017,5,31,70.5
1599,Knight Squad,Action|General,Xbox One|PC,Chainsawesome Games,2015,11,16,71.0
1600,Spy Chameleon,Puzzle|General|Action,Xbox One|PC|PlayStation 4|PlayStation Vita|Switch|Wii U,Unfinished Pixel,2015,5,22,75.5
1601,Fearful Symmetry & The Cursed Prince,Puzzle|Action,Xbox One|PC,Gamera Interactive,2017,12,12,71.0
1602,oOo: Ascension,Action|General,Xbox One|PC|Switch,Kenny Creanor,2018,5,25,70.0
1603,Teslapunk,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|iPhone/iPad|Wii U,klutzGames,2015,10,7,70.0
1604,Let Them Come,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One|iPhone/iPad|PC|PlayStation 4,Versus Evil,2017,10,3,69.0
1605,Below,Action|General,Xbox One|PC,Capy Games,2018,12,14,68.5
1606,Call of Duty: Ghosts - Devastation,Action|Arcade|Shooter|Modern|First-Person,Xbox One|PC|PlayStation 3|PlayStation 4|Xbox 360,Infinity Ward,2014,4,3,70.0
1607,Fortified,Shooter|Action|Arcade|Third-Person,Xbox One|PC,Clapfoot Inc.,2016,2,3,67.5
1608,Battle Princess Madelyn,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Causal Bit Games,2018,12,6,69.0
1609,Fruit Ninja Kinect 2,Action|General|Arcade,Xbox One,Halfbrick Studios,2015,3,18,69.0
1610,Guns  Gore & Cannoli,Action|Arcade|Shooter|Third-Person|Modern,Xbox One|PC|PlayStation 4|Switch,Claeys Brothers Arts,2015,9,25,72.33
1611,Gear Gauntlet,Action|General|Arcade,Xbox One|PC|Wii U,Drop Dead Interactive,2016,4,15,69.0
1612,ClusterTruck,Platformer|Action|3D,Xbox One|PC|PlayStation 4|Switch,tinyBuild,2016,10,28,69.0
1613,DeadCore,Shooter|Action|First-Person|Arcade,Xbox One|PC|PlayStation 4,Grip Games,2017,7,14,73.5
1614,Caveman Warriors,Beat-'Em-Up|Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,JanduSoft,2017,9,22,60.5
1615,Aftercharge,Shooter|Action|First-Person|Tactical,Xbox One|PC,Chainsawesome Games,2019,1,10,69.0
1616,Odium To the Core,Action|General,Xbox One|iPhone/iPad|PC|Switch,Dark-1,2018,12,26,69.0
1617,Shift Happens,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Deck 13,2017,2,22,69.0
1618,Momonga Pinball Adventures,Pinball|Action,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch|Wii U,Plug In Digital,2016,12,21,68.33
1619,In Between,Platformer|Action|2D,Xbox One|iPhone/iPad|PC|Switch,Gentlymad,2016,6,8,68.0
1620,Way of the Passive Fist,Beat-'Em-Up|Action|2D,Xbox One|PC|PlayStation 4|Switch,Household Games Inc.,2018,3,7,68.0
1621,LEVEL 22  Gary's Misadventures,Action|General,Xbox One|iPhone/iPad|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Wii U,Moving Player| Noego,2016,1,29,69.0
1622,Kill The Bad Guy,Puzzle|Action,Xbox One|PC|PlayStation 4|Switch,Plug In Digital,2017,1,31,68.0
1623,Switch: Or Die Trying,Platformer|Action|2D,Xbox One|PC,Threye Interactive,2018,2,28,68.0
1624,Four Sided Fantasy,Platformer|Action|2D,Xbox One|PC|PlayStation 4,Serenity Forge,2017,3,31,68.0
1625,Aces of the Luftwaffe: Squadron,Action|Shoot-'Em-Up|Shooter|Top-Down|Vertical,Xbox One|PC|PlayStation 4|Switch,HandyGames,2018,7,24,69.5
1626,Marvel's Guardians of the Galaxy: The Telltale Series,Action|General|Adventure|3D|Third-Person,Xbox One|iPhone/iPad|PC|PlayStation 4,Telltale Games,2017,4,18,72.5
1627,TurnOn,Platformer|Action|2D,Xbox One|PC,Brainy Studio LLC,2016,6,1,67.0
1628,Beatbuddy: Tale of the Guardians,Action|Music|Rhythm,Xbox One|iPhone/iPad|PC|Wii U,Threaks,2015,8,7,67.33
1629,Monochroma,Platformer|Action|2D,Xbox One|PC,Nowhere Studios,2016,6,24,60.5
1630,Shikhondo: Soul Eater,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|PC|PlayStation 4|Switch,DeerFarm,2018,8,28,66.0
1631,Sigi: A Fart for Melusina,Platformer|Action|2D,Xbox One|PC|PlayStation 4|PlayStation Vita|Switch,pixel.lu,2018,9,7,59.0
1632,Cobalt,Platformer|Action|2D,Xbox One|PC|Xbox 360,Oxeye,2016,2,2,67.5
1633,Rise & Shine,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Super Mega Team| Super Awesome Hyper Dimensional Mega Team,2017,1,13,60.33
1634,SkyKeepers,Platformer|Action|2D,Xbox One|PC|PlayStation 4,Sword Twin Studios,2017,3,31,66.0
1635,39 Days to Mars,Puzzle|Action,Xbox One|PC|Switch,It's Anecdotal,2019,2,6,68.5
1636,Call of Duty: Ghosts - Onslaught,Action|Arcade|Shooter|Modern|First-Person,Xbox One|PC|PlayStation 3|PlayStation 4|Xbox 360,Infinity Ward,2014,1,28,65.0
1637,Beach Buggy Racing,Automobile|Action|General|Arcade|Racing,Xbox One|iPhone/iPad|PlayStation 4|Switch,Vector Unit,2015,5,29,67.6
1638,Sunset Overdrive and the Mystery of the Mooil Rig!,Action|General|Arcade|Shooter|Third-Person,Xbox One,Insomniac Games,2014,12,23,65.0
1639,Kitty Powers' Matchmaker,Action|General,Xbox One|iPhone/iPad|PC|PlayStation 4,STELLAR ENTERTAINMENT SOFTWARE LTD,2017,3,10,65.0
1640,Lovely Planet,Shooter|Action|First-Person|Arcade,Xbox One|PC|PlayStation 4|Wii U,QUICKTEQUILA,2016,1,8,63.0
1641,Bad North,Strategy|Action|General|Real-Time,Xbox One|PC|PlayStation 4|Switch,Raw Fury,2018,8,28,70.33
1642,Wondershot,Action|Arcade,Xbox One|PC|PlayStation 4|Switch,Leikir Studio,2016,2,19,65.0
1643,HoPiKo,Action|General,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch,Merge Games,2016,10,19,77.0
1644,Planet of the Eyes,Platformer|Action|2D,Xbox One|PC|PlayStation 4,Coco Cucumber| Cococucumber,2017,9,12,65.0
1645,Super Lucky's Tale,Platformer|Action|2D|3D,Xbox One|PC,Playful Corp.,2017,11,7,61.5
1646,Ninja Pizza Girl,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Wii U,Disparity Games,2016,7,20,72.5
1647,Air Guitar Warrior,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One,Virtual Air Guitar Company,2017,3,29,63.0
1648,Albert & Otto: The Adventure Begins,Platformer|Action|2D,Xbox One|iPhone/iPad|PC|PlayStation 4,Digerati Distribution| Digerati,2018,1,10,66.0
1649,Samsara,Puzzle|Action,Xbox One|iPhone/iPad|iPhone/iPad|PC,Marker Limited,2018,2,7,63.0
1650,Giga Wrecker Alt.,Platformer|Action|2D,Xbox One|PlayStation 4|Switch,Game Freak,2019,5,2,64.0
1651,Baseball Riot,Puzzle|General|Action,Xbox One|iPhone/iPad|PC|PlayStation 4|PlayStation Vita|Switch,10tons Ltd| 10tons,2015,12,9,57.0
1652,Inside My Radio,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch|Wii U,Seaven Studio,2015,9,18,62.0
1653,Battlefield 4: Naval Strike,Action|Arcade|Shooter|Modern|First-Person,Xbox One|PC|PlayStation 3|PlayStation 4|Xbox 360,EA DICE,2014,4,25,67.5
1654,Sixty Second Shooter Prime,Action|Shoot-'Em-Up|Shooter|Static|Top-Down,Xbox One,Happion Laboratories,2014,6,18,61.0
1655,Hunter's Legacy,Platformer|Action|Action Adventure|Open-World|2D,Xbox One|PC|PlayStation 4,Lienzo,2017,1,20,59.5
1656,Deadbeat Heroes,Beat-'Em-Up|Action|3D,Xbox One|PC,Deadbeat Studios,2017,10,10,63.0
1657,Zombie Driver: Ultimate Edition,Action|General,Xbox One,EXOR Studios,2014,6,24,61.0
1658,Gryphon Knight Epic,Shooter|Action|Horizontal|Shoot-'Em-Up,Xbox One|PC|PlayStation 4,Cyber Rhino Studios,2016,3,30,58.0
1659,Bridge Constructor Stunts,Puzzle|Action,Xbox One|iPhone/iPad|PC|PlayStation 4,Headup Games,2016,12,16,61.0
1660,Cast of the Seven Godsends: Redux,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,Raven Travel Studios,2016,7,20,61.0
1661,White Night,Survival|Action|General|Action Adventure,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch,OSome Studio,2015,3,6,61.0
1662,Crackdown 3,Action|Action Adventure|Sci-Fi|Open-World|Shooter|Third-Person,Xbox One|PC,Sumo Digital| Elbow Rocket,2019,2,15,60.0
1663,Defenders of Ekron: Definitive Edition,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4,In Vitro Games,2018,8,7,59.0
1664,Christopher Brookmyre's Bedlam,Shooter|Action|First-Person|Arcade,Xbox One|PC|PlayStation 4,RedBedlam,2015,10,16,56.0
1665,GunWorld 2,Action|General,Xbox One|PC,M07 Games,2016,5,13,59.0
1666,ZHEROS,Beat-'Em-Up|Action|3D,Xbox One|PC|PlayStation 4,Rimlight Studios,2016,1,15,57.5
1667,The Path of Motus,Platformer|Action|2D,Xbox One|PC|PlayStation 4|Switch,MichaelArts,2018,7,17,57.5
1668,RWBY: Grimm Eclipse,Beat-'Em-Up|Action|3D,Xbox One|PC|PlayStation 4,Rooster Teeth Games,2017,1,17,57.0
1669,Xenon Valkyrie+,Platformer|Action|2D,Xbox One|PlayStation 4|PlayStation Vita|Switch,COWCAT,2018,2,21,59.0
1670,Q*bert: Rebooted: The XBOX One @!#?@! Edition,Action|Arcade,Xbox One|iPhone/iPad|PC|PlayStation 3|PlayStation 4|PlayStation Vita,GPC Games,2016,2,12,56.0
1671,At Sundown: Shots in the Dark,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One|PC|PlayStation 4|Switch,Mild Beast Games,2019,1,22,56.0
1672,Dead Rising 3: Fallen Angel,Open-World|Action|Action Adventure|General,Xbox One,Capcom Vancouver,2014,2,11,56.0
1673,Defiance 2050,Shooter|Action|First-Person|Arcade,Xbox One|PC|PlayStation 4,Trion Worlds,2018,7,10,56.0
1674,Think of the Children,Action|General,Xbox One|PC|PlayStation 4|Switch,Jammed Up Studios,2018,9,26,56.0
1675,Jettomero: Hero of the Universe,Action|General,Xbox One|PC|PlayStation 4|Switch,Ghost Time Games,2017,9,15,56.0
1676,Dead Effect 2,Action|General|Arcade|Shooter|First-Person,Xbox One|iPhone/iPad|PC|PlayStation 4,BadFly Interactive| a.s| BadFly Interactive,2017,1,13,62.33
1677,GODS Remastered,Action|General,Xbox One|PC|PlayStation 4|Switch,Robot Riot UG,2018,12,4,56.0
1678,Crimson Dragon,Shooter|Action|Rail,Xbox One,Grounding Inc.,2013,11,22,55.0
1679,Robocraft Infinity,Shooter|Action|First-Person|Arcade,Xbox One,Freejam,2018,4,11,55.0
1680,Active Soccer 2 DX,Action|General|Arcade|Sports|Soccer|Team,Xbox One|iPhone/iPad|PlayStation 4|PlayStation Vita,The Fox Software,2016,3,30,53.0
1681,Shred It!,Action|General|Sports|Ski / Snowboard|Individual,Xbox One|iPhone/iPad|PlayStation 4,EM Studios| EM Studios Ltd,2016,3,18,53.0
1682,Solar Shifter EX,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|PC,Elder Games,2016,8,26,53.0
1683,Rabbids Invasion,Miscellaneous|Action|General|Party / Minigame,Xbox One|PlayStation 4|Xbox 360,Ubisoft,2014,11,18,53.0
1684,Halo: Spartan Assault,Action|General|Shoot-'Em-Up|Shooter|Top-Down|Scrolling|Vertical,Xbox One|iPhone/iPad|PC|Xbox 360,Vanguard| 343 Industries,2013,12,23,61.5
1685,Dead Rising 3: Operation Broken Eagle,Open-World|Action|Action Adventure|General,Xbox One,,2014,1,21,52.0
1686,ZAMB! Redux,Action|General,Xbox One|PC,Nano Games,2018,5,30,52.0
1687,No Time to Explain,Platformer|Action|2D,Xbox One|PC|PlayStation 4,tiny Build GAMES| tinyBuild,2015,7,17,53.33
1688,Crashbots,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch,Sometimes You,2019,5,1,52.0
1689,Zeroptian Invasion,Shooter|Action|Shoot-'Em-Up|Vertical,Xbox One|PC|PlayStation 4|PlayStation Vita|Switch,Josyan,2019,4,24,51.0
1690,Dead Rising 3: The Last Agent,Open-World|Action|Action Adventure|General,Xbox One,Capcom Vancouver,2014,3,18,51.0
1691,Dead Rising 3: Chaos Rising,Open-World|Action|Action Adventure|General,Xbox One,Capcom Vancouver,2014,2,21,50.0
1692,Nutjitsu,Action|General,Xbox One|PlayStation 4,NinjaBee,2014,5,8,50.0
1693,Skyling: Garden Defense,Action|General,Xbox One|iPhone/iPad|PC,Mighty Studios LLC,2016,4,19,50.0
1694,LA Cops,Action|General|Shoot-'Em-Up|Shooter|Top-Down,Xbox One|PC|PlayStation 4,Modern Dream,2015,3,13,47.0
1695,Action News Heroes,Shooter|Action|Top-Down|Shoot-'Em-Up,Xbox One,Krewe Studios,2016,7,27,49.0
1696,MagNets: Fully Charged,Action|General,Xbox One|PC,Total Monkery,2016,3,11,49.0
1697,Paranautical Activity,Action|General|Arcade|Shooter|First-Person,Xbox One|PC|PlayStation 4|PlayStation Vita|Switch|Wii U,Code Avarice,2016,4,29,47.0
1698,Ethan: Meteor Hunter,Platformer|Action|2D,Xbox One|PC|PlayStation 3|PlayStation Vita|Switch,Seaven Studio,2016,7,1,54.0
1699,Crypt of the Serpent King,Action|General,Xbox One|PC|PlayStation 4|Switch,Rendercode Games,2016,12,21,43.0
1700,Funk of Titans,Platformer|Action|2D,Xbox One|PC|PlayStation 4|PlayStation Vita|Wii U,A Crowd of Monsters,2015,1,9,43.5
1701,Rock Zombie,Beat-'Em-Up|Action|2D,Xbox One|iPhone/iPad|PC|Wii U,Quaternion Studio,2015,12,4,46.0
1702,Tango Fiesta,Action|General|Shoot-'Em-Up|Shooter|Top-Down,Xbox One|PC|PlayStation 4,Merge Games,2017,5,17,42.0
1703,Hello Neighbor,Action|General|Adventure|3D|First-Person,Xbox One|iPhone/iPad|PC|PlayStation 4|Switch,tinyBuild,2017,12,8,39.6
1704,Future War:Reborn,Shooter|Action|Arcade|Third-Person,Xbox One|iPhone/iPad,Good net technology co. Ltd,2017,12,20,41.0
1705,Monster Jam: Crush It!,Automobile|Action|General|Arcade|Racing,Xbox One|PlayStation 4|Switch,Maximum Games,2016,10,25,36.0
1706,Bounce Rescue!,Platformer|Action|2D,Xbox One|PC|PlayStation 4,Bitecore,2018,5,5,36.0
1707,Tyler: Model 005,Platformer|Action|3D,Xbox One|PC,Reversed Interactive,2018,8,21,35.0
1708,Past Cure,Action|General,Xbox One|PC|PlayStation 4,Phantom 8,2018,2,23,41.0
1709,Gene Rain,Shooter|Action|Arcade|Third-Person,Xbox One|PlayStation 4,Deeli network,2018,7,31,32.0
1710,Minecraft: Xbox One Edition,Action Adventure|First-Person|Sandbox|3D|Adventure|Fantasy,Xbox One|3DS|PC|PlayStation 3|PlayStation 4|PlayStation Vita|Switch|Wii U|Xbox 360,4J Studios| Mojang AB,2014,11,18,88.0
